Age,Gender,Nationality,Living Status,Home Town,Relationship Status,Faculty,Education Level,Years of Study,Completed Credit Hours,CGPA,Number of Subjects Failed,SPM Result (A),SPM Result (B),SPM Result (C),Scholarship,PTPTN,Reason Study at Multimedia University,Lecture Class Capacity,Tutorial Class Capacity,Skipping Class,Classroom Facilities,Campus Environment,Additional Course,Family Size,Parent's Education Level.Father,Parent's Education Level.Mother,Father's Occupation,Mother's Occupation,Financial Difficulties,Financial Support,Study Behavior,Study Time,Extra Curricular Activities,Part-time Job,Commute Time,Gaming,Alcohol Consumption,I have enough free time after class,Social Interaction,I hang out with friends
24 - 26,Female,Malaysian,Family,Urban,Yes,FOM,Bachelor's,4,More than 100,Average,More than 4,3,3,2,No,No,Course preference,Medium,Medium,Sometimes,Moderate,Moderate,No,MT3,Higher,Higher,Company Secretary,Pengurus kewangan,No,Yes,Alone,2 - 5,Yes,No,Less than 10,Non-gamer,Non-drinker,2,2,2
21 - 23,Male,Malaysian,Alone,Urban,Yes,FOL,Bachelor's,3,71 - 100,Very Good,0,6,3,0,No,Yes,Course preference,Extra large,Large,Less,Moderate,Moderate,No,MT3,Higher,Higher,Self-employed,Self-employed,No,Yes,Group,5 - 8,Yes,No,10 - 30,Light,Sometimes,1,2,3
21 - 23,Female,Malaysian,Family,Urban,Yes,FIST,Bachelor's,2,40 - 70 ,Very Good,0,5,4,1,Yes,Yes,Course preference,Large,Large,None,Moderate,Moderate,No,MT3,Secondary,Secondary,Technician ,Accountant ,No,Yes,Group,2 - 5,No,No,10 - 30,Light,Less,2,4,4
21 - 23,Female,Malaysian,Family,Urban,No,FCI,Bachelor's,2,40 - 70 ,Average,1 - 2,5,2,2,No,Yes,Course preference,Large,Large,Less,Moderate,Moderate,No,MT3,Higher,Higher,Retired,Finance and banking,No,Yes,Alone,2 - 5,No,No,Less than 10,Non-gamer,Non-drinker,3,3,4
18 - 20,Male,Malaysian,Alone,Urban,No,FOB,Diploma,Less than 1,Less than 40,Good,0,1,1,2,No,Yes,Close to home,Medium,Large,Sometimes,Moderate,Poor,No,MT3,Secondary,Secondary,Self-employed,Self-employed,No,Yes,Alone,Less than 2,No,No,30 - 60,Non-gamer,Non-drinker,3,1,1
18 - 20,Female,Malaysian,Friend or Roommate,Urban,No,FCM,Diploma,2,40 - 70 ,Good,0,3,6,0,No,No,Close to home,Medium,Medium,Less,Good,Good,Yes,MT3,Early,Early,Self-employed,Self-employed,No,Yes,Alone,2 - 5,Yes,No,Less than 10,Light,Non-drinker,3,3,3
21 - 23,Female,Malaysian,Friend or Roommate,Urban,No,FCM,Bachelor's,3,71 - 100,Good,0,4,3,0,Yes,No,Course preference,Medium,Medium,None,Moderate,Good,Yes,MT3,Higher,Higher,Self-employed,Education,No,Yes,Alone,More than 8,No,No,Less than 10,Moderate,Non-drinker,1,4,4
18 - 20,Female,Malaysian,Friend or Roommate,Urban,No,FOB,Foundation,Less than 1,Less than 40,Average,0,3,1,5,No,No,Close to home,Large,Extra large,None,Good,Moderate,No,MT3,Higher,Secondary,sales manager,Unemployed,No,Yes,Alone,2 - 5,No,No,10 - 30,Light,Non-drinker,2,3,3
21 - 23,Male,Malaysian,Friend or Roommate,Urban,No,FOM,Bachelor's,1,Less than 40,Very Good,1 - 2,3,2,3,No,Yes,University reputation,Small,Small,None,Good,Moderate,No,LE3,Secondary,Primary,Supervisor,Unemployed,No,No,Alone,Less than 2,No,No,10 - 30,Light,Non-drinker,4,3,4
18 - 20,Female,Malaysian,Friend or Roommate,Urban,Yes,FCI,Bachelor's,Less than 1,Less than 40,Good,0,6,3,0,Yes,No,Course preference,Large,Large,Less,Moderate,Moderate,No,MT3,Higher,Higher,Self-employed,Technology,No,No,Alone,2 - 5,Yes,No,Less than 10,Light,Non-drinker,3,3,4
