Age,Gender,Nationality,Living Status,Home Town,Relationship Status,Faculty,Education Level,Years of Study,Completed Credit Hours,Number of Subjects Failed,SPM Result (A),SPM Result (B),SPM Result (C),Scholarship,PTPTN,Reason Study at Multimedia University,Lecture Class Capacity,Tutorial Class Capacity,Skipping Class,Classroom Facilities,Campus Environment,Additional Course,Family Size,Parent's Education Level.Father,Parent's Education Level.Mother,Father's Occupation,Mother's Occupation,Financial Difficulties,Financial Support,Study Behavior,Study Time,Extra Curricular Activities,Part-time Job,Commute Time,Gaming,Alcohol Consumption,I have enough free time after class,Social Interaction,I hang out with friends,CGPA
1,0,1,2,1,0,3,0,2,1,0,0,0,0,0,0,12,2,2,1,1,1,0,1,1,1,23,35,0,1,0,2,0,0,2,3,1,1,2,2,2
0,0,0,2,1,1,2,0,4,2,0,10,2,0,0,1,12,1,1,1,1,1,0,1,1,1,38,28,0,0,0,0,1,1,0,3,1,0,2,2,4
0,0,0,2,1,0,3,1,4,2,0,5,1,4,0,1,12,3,2,0,0,1,0,1,1,1,75,63,1,1,1,0,0,0,0,3,1,0,2,3,4
0,0,0,1,0,0,9,0,0,2,0,9,1,2,0,1,11,2,2,0,1,0,0,1,4,1,87,28,0,1,0,0,0,1,2,1,1,3,2,2,2
1,1,0,1,1,0,5,0,2,0,0,11,2,0,1,1,11,2,2,0,1,2,0,1,4,4,94,52,0,1,0,0,1,0,1,2,1,2,2,4,4
2,1,0,1,1,1,9,0,2,3,0,8,4,0,0,0,12,2,2,0,0,0,1,1,1,1,25,23,0,0,0,0,1,0,3,1,1,3,4,3,4
2,0,0,1,1,1,5,0,2,1,0,0,4,4,0,1,11,0,1,0,1,0,0,1,4,1,23,18,0,0,1,0,0,0,0,1,1,2,2,0,2
2,1,0,1,1,1,5,0,4,2,0,3,0,0,0,0,11,1,2,3,0,0,1,1,1,1,25,68,0,1,0,2,0,1,2,2,1,1,1,0,2
2,1,0,1,1,0,3,0,2,1,1,10,3,0,1,1,11,2,2,0,0,1,0,1,1,1,48,40,1,1,1,0,1,0,1,1,1,3,3,3,2
2,1,0,1,1,0,2,0,1,0,0,12,0,0,0,0,11,2,2,3,1,1,1,1,1,4,14,76,0,1,0,2,0,0,1,1,1,3,2,2,4
1,1,0,1,1,0,2,1,1,1,0,5,3,2,0,1,11,2,3,0,1,1,1,1,4,4,100,76,0,0,1,0,0,0,2,2,0,1,2,1,4
1,0,0,1,1,0,2,0,2,1,0,10,0,1,1,0,11,2,3,0,1,0,1,1,4,4,87,68,1,1,1,0,1,0,2,1,1,3,3,3,4
1,1,0,2,0,0,9,0,2,1,0,1,5,2,0,1,12,2,2,1,1,0,0,1,0,0,87,68,0,1,0,0,0,0,0,1,1,2,2,3,4
0,0,0,0,1,1,2,1,4,2,1,6,5,1,1,1,12,0,1,1,2,1,0,1,1,3,109,76,1,1,0,0,0,1,2,1,1,0,2,0,0
1,1,0,1,1,0,5,0,0,2,0,6,5,0,0,1,11,2,2,1,1,2,0,1,3,4,51,22,1,1,0,0,0,0,1,1,1,3,3,3,2
0,0,0,2,1,0,6,2,4,0,0,5,4,1,0,0,11,2,2,1,1,0,0,1,3,0,87,68,0,1,1,2,0,0,2,2,1,3,0,0,0
2,0,0,2,1,1,6,0,2,3,0,11,3,0,0,1,37,3,3,0,1,1,0,1,4,4,87,68,0,1,0,2,1,1,2,2,1,3,3,1,4
3,1,0,1,1,0,5,0,0,0,0,7,3,2,0,1,11,2,3,1,1,1,1,1,1,1,87,23,0,0,1,0,1,1,1,2,3,2,2,2,4
0,0,0,2,1,0,3,2,4,2,0,9,1,2,0,1,12,2,2,1,0,0,0,0,1,1,0,66,0,1,0,2,0,1,2,0,3,3,2,2,4
0,0,0,2,1,0,3,0,4,2,0,0,2,3,0,1,12,3,3,1,1,1,0,1,4,4,81,33,1,1,0,2,1,0,2,0,1,3,2,1,2
1,1,0,1,1,0,2,0,1,3,0,6,4,3,0,1,11,2,2,0,1,2,1,1,4,1,100,23,1,1,0,2,1,0,0,3,1,3,2,2,2
2,0,0,2,1,1,3,0,2,0,0,0,0,0,0,1,37,2,2,3,0,1,0,1,1,1,87,68,0,1,1,0,0,0,2,3,1,2,2,2,4
0,0,0,1,1,1,0,2,4,0,0,5,4,0,0,1,11,2,1,0,1,1,0,1,4,1,14,68,0,1,0,0,0,0,2,3,1,2,1,2,4
1,1,0,2,1,0,3,0,4,2,1,0,2,3,0,0,12,2,1,0,1,1,0,1,1,1,14,11,0,1,1,2,1,0,0,0,1,1,1,1,0
1,0,0,1,1,0,4,0,1,0,0,10,3,0,0,1,11,2,2,0,0,0,0,1,4,4,87,76,0,1,0,0,0,0,0,1,1,1,1,1,4
1,0,0,1,1,0,0,0,2,1,0,5,3,3,0,1,11,2,2,1,0,0,0,1,1,1,45,46,0,1,0,1,1,0,0,3,1,2,3,2,4
0,0,0,2,1,0,3,0,1,2,0,9,1,0,1,0,12,2,3,3,0,0,0,1,1,1,23,17,0,1,0,0,1,0,2,3,1,1,1,1,4
1,0,0,1,1,0,3,0,3,1,0,8,2,0,0,1,26,2,2,1,1,0,0,1,1,1,14,33,0,1,1,0,0,0,1,0,1,3,2,2,2
1,1,0,2,1,0,5,0,1,2,0,7,3,1,0,1,37,1,2,0,1,1,0,1,3,4,14,76,0,1,0,0,1,0,0,2,0,3,3,1,2
1,0,0,2,1,0,6,0,4,2,0,2,0,0,0,1,11,1,2,1,1,1,0,0,4,4,87,68,0,0,0,1,0,0,2,1,1,3,4,3,4
1,1,0,1,1,0,3,0,1,3,0,7,3,3,0,0,18,3,2,0,2,1,0,1,1,1,87,18,0,1,0,2,0,1,3,1,1,3,4,3,2
0,0,0,1,1,0,6,1,1,0,0,7,5,1,0,1,11,2,2,0,1,1,1,1,3,3,87,76,0,1,0,2,0,0,0,2,0,1,0,0,4
0,0,0,0,1,0,6,1,0,0,0,7,4,1,0,1,11,3,3,0,1,1,0,1,4,4,87,68,0,1,1,2,0,0,2,3,1,2,1,1,4
0,0,0,2,1,0,8,0,0,2,0,8,2,1,0,1,12,0,1,1,1,1,0,1,4,4,79,33,1,1,0,3,1,0,2,1,1,1,2,1,4
0,0,0,2,1,1,6,2,4,2,0,9,1,1,0,0,12,1,1,1,1,1,0,1,1,1,87,18,0,1,0,0,1,0,2,1,1,3,2,2,2
0,0,0,1,1,1,3,1,1,1,0,5,5,1,0,1,12,2,1,1,1,1,0,1,1,1,14,11,0,1,0,2,0,0,2,2,1,1,3,0,4
1,1,0,2,1,0,6,0,1,1,0,5,3,2,1,1,15,1,1,3,1,1,0,1,3,3,87,76,1,1,0,0,1,0,2,3,0,2,3,3,2
0,0,0,2,1,0,9,1,1,0,0,6,2,0,1,0,12,2,2,3,2,2,0,1,1,1,87,76,1,0,0,2,0,0,0,3,1,1,0,0,4
1,1,0,0,1,0,5,0,2,3,0,11,4,0,1,1,12,0,0,2,2,2,1,1,1,4,79,11,1,1,0,2,1,0,2,0,2,3,3,3,4
1,0,0,1,1,1,3,1,0,0,0,0,0,0,0,1,12,2,3,1,1,1,0,1,1,4,87,11,1,1,1,2,1,0,2,3,0,2,3,3,4
1,0,0,1,1,0,2,0,2,1,1,0,4,2,0,0,12,1,1,1,1,1,0,1,1,1,26,18,1,1,0,1,0,0,1,3,1,4,2,0,0
1,0,0,1,1,0,6,0,0,2,0,2,1,0,1,1,12,3,2,0,1,0,0,1,4,1,87,23,0,0,0,0,1,0,0,2,1,3,1,1,4
1,0,0,2,1,0,8,0,1,0,0,9,3,0,0,1,12,1,2,1,1,1,0,1,0,0,87,76,0,1,0,1,1,0,2,3,1,3,2,1,2
1,0,0,1,1,0,2,0,1,0,1,3,0,0,0,0,12,1,2,3,1,0,0,1,1,1,38,28,0,1,0,2,0,0,0,1,1,3,2,2,2
1,1,0,0,1,0,8,0,2,1,0,2,0,0,0,1,12,0,1,3,1,1,0,1,1,4,0,76,0,1,0,0,1,0,2,3,3,2,2,2,2
0,0,0,1,1,0,2,0,1,2,0,8,4,0,1,0,12,1,2,0,1,1,0,1,1,1,100,76,1,1,0,0,1,0,1,0,1,3,2,2,4
1,0,0,2,1,0,5,0,1,0,0,11,1,0,1,0,12,0,1,0,0,1,0,1,4,4,87,76,1,1,0,0,1,0,2,3,1,2,2,3,4
0,1,0,0,1,1,5,0,1,0,1,6,3,3,0,0,12,2,2,0,1,1,0,1,1,1,100,18,0,0,1,0,0,0,0,2,3,2,2,2,3
1,1,0,2,0,0,6,0,0,0,0,1,2,3,0,1,12,2,3,1,0,0,0,0,3,4,87,23,1,1,0,2,0,1,2,3,0,1,1,1,0
1,0,0,2,1,1,2,0,2,1,0,2,1,0,0,1,12,1,1,1,1,1,0,1,1,4,87,76,0,1,0,2,1,0,2,1,1,3,3,2,4
1,1,0,2,1,0,5,0,2,1,1,7,3,1,0,1,12,1,2,3,1,1,0,1,1,1,100,85,0,1,0,2,1,0,2,2,3,3,3,3,2
0,0,0,1,1,0,6,0,4,2,0,5,0,3,0,0,11,1,1,1,0,0,0,1,4,4,87,76,0,1,1,0,0,0,0,3,1,4,3,3,4
0,1,0,1,1,0,2,0,0,0,0,6,7,0,0,0,11,0,0,1,0,0,0,1,1,1,38,18,0,1,1,0,1,0,0,1,1,1,1,1,4
1,0,0,2,0,0,6,0,1,0,0,9,1,3,0,1,11,2,2,1,0,0,0,1,3,4,87,76,0,1,0,0,0,0,2,3,1,3,3,4,4
3,1,0,1,1,0,2,0,5,3,2,1,5,2,0,1,12,0,0,0,0,0,0,1,1,1,45,84,1,1,0,0,0,1,1,2,1,3,3,2,2
2,1,0,1,1,1,9,0,1,2,1,6,3,3,0,1,12,3,3,0,1,2,1,1,4,4,87,76,1,1,1,0,0,1,3,3,0,1,2,1,2
0,0,0,2,1,0,8,0,4,2,1,10,2,0,0,1,12,2,2,3,0,1,1,0,4,4,87,18,0,1,0,0,1,0,0,3,1,2,2,3,2
0,1,0,1,1,0,2,2,0,0,1,6,1,2,0,0,11,1,2,0,0,0,0,1,3,4,87,23,0,1,1,2,1,0,2,2,1,4,2,4,0
1,0,0,2,1,1,2,0,2,3,2,8,2,2,0,1,12,1,2,3,0,0,0,0,1,1,101,23,0,1,0,0,1,1,2,3,1,3,1,1,0
1,0,0,1,1,1,5,0,2,3,0,5,2,3,1,0,11,2,2,0,0,0,0,1,4,1,87,23,0,1,0,2,0,1,0,1,0,2,3,3,4
0,1,0,1,1,0,2,0,2,2,0,6,2,4,0,0,12,2,2,0,1,1,0,1,1,1,11,9,1,1,0,2,0,0,1,0,1,3,4,4,2
1,0,0,1,1,0,6,0,0,0,0,0,0,0,0,0,12,2,3,0,1,2,1,1,4,4,87,76,0,1,0,2,1,1,1,1,0,1,2,2,4
1,0,0,1,1,0,5,0,2,0,1,8,3,1,1,1,11,1,1,0,1,1,0,1,1,1,14,11,0,1,1,2,0,0,0,0,1,1,0,0,2
1,1,0,1,1,0,2,0,1,2,0,10,2,0,1,1,12,2,2,3,1,1,0,0,4,1,14,11,1,1,0,2,0,0,3,2,0,2,3,3,4
1,0,0,2,1,0,8,0,3,0,0,8,2,1,1,0,12,0,2,3,1,0,0,1,1,1,23,76,0,1,1,0,1,0,2,2,1,1,3,4,2
0,0,0,2,1,1,8,2,0,1,2,7,3,0,0,0,16,2,3,3,2,2,1,1,0,0,26,13,0,0,0,2,1,0,2,1,1,1,1,0,0
1,1,0,1,1,0,2,0,2,1,0,1,2,3,0,0,11,3,0,0,2,1,0,1,1,1,87,23,0,1,1,2,0,0,1,0,0,3,0,2,4
1,1,0,2,1,1,5,1,3,0,0,0,1,4,0,1,12,2,2,0,1,1,1,1,0,0,100,76,0,0,1,0,1,0,1,0,0,2,2,2,2
1,0,0,2,1,0,9,0,1,3,0,12,0,0,1,0,12,2,2,0,1,0,1,1,1,1,87,23,0,1,0,0,1,0,0,3,1,1,3,2,4
0,0,0,1,1,0,6,0,1,0,1,1,5,1,0,1,11,2,2,1,1,0,0,1,4,1,100,18,0,0,0,0,0,1,2,3,1,2,2,2,4
1,1,0,2,1,1,5,0,1,1,0,6,5,2,0,1,12,2,2,1,1,1,0,1,4,3,87,76,0,0,0,0,0,0,2,2,0,3,3,1,4
0,0,0,2,1,0,3,1,1,1,0,9,3,0,1,0,12,1,0,0,1,1,0,1,1,1,102,93,0,1,0,2,1,1,2,3,1,2,3,3,4
0,0,0,2,1,0,0,0,4,2,0,9,4,2,0,1,12,2,2,0,0,0,0,1,1,1,80,64,0,1,0,2,1,0,0,3,0,1,1,2,4
0,0,0,2,1,0,3,1,0,0,1,5,2,3,0,1,12,2,1,0,1,0,0,1,1,1,23,18,0,0,0,0,0,0,0,2,0,2,1,2,2
0,1,0,2,1,1,3,2,4,0,0,7,6,0,0,1,12,2,2,1,0,1,0,1,4,4,87,76,0,0,0,0,0,0,0,0,1,2,1,1,2
0,1,0,2,1,0,5,1,1,3,0,9,3,0,0,1,12,2,2,0,0,0,0,1,1,4,14,68,0,1,0,2,0,0,0,1,1,3,1,2,4
0,0,0,2,0,0,8,0,0,0,0,11,2,1,0,1,12,1,2,0,1,1,0,1,4,1,38,76,0,1,1,0,1,0,2,2,1,2,2,3,2
0,0,0,1,1,0,3,2,4,2,0,8,3,1,0,0,11,2,2,1,0,0,0,1,1,1,38,76,0,1,0,2,0,0,0,1,0,2,1,2,4
1,1,0,1,1,0,2,0,1,1,0,9,3,0,1,0,12,1,1,3,0,0,1,1,1,1,82,33,0,1,0,2,1,0,0,0,1,4,0,0,4
0,0,0,1,1,1,5,0,4,2,0,5,5,2,0,1,11,1,2,0,0,0,0,1,3,3,87,68,0,1,0,2,1,0,1,2,0,2,3,1,2
1,1,0,2,1,1,4,0,3,3,0,1,4,2,0,0,11,3,3,1,0,0,0,1,4,4,85,12,0,1,0,1,1,0,2,3,3,4,4,4,2
0,1,0,2,1,0,5,1,4,2,0,6,4,3,0,1,12,2,2,1,1,1,0,1,4,4,87,76,0,1,0,2,0,0,2,1,3,2,1,2,2
1,0,0,1,1,0,3,0,1,2,0,10,3,0,1,1,12,1,2,1,1,0,0,1,4,4,87,68,1,1,1,2,0,1,1,0,1,2,3,2,2
3,0,1,0,1,1,1,0,5,3,0,4,0,0,1,1,11,3,3,2,2,2,1,1,0,0,93,7,0,1,0,3,0,0,3,0,1,4,0,0,4
0,1,0,2,0,1,6,0,1,1,0,1,1,4,0,1,37,2,2,0,1,1,0,1,4,4,87,76,0,0,0,2,1,1,2,1,1,2,2,2,4
0,1,1,0,0,0,5,0,4,2,0,0,0,0,1,0,12,1,1,0,1,1,0,1,0,0,87,68,0,0,1,2,1,1,2,1,1,1,1,1,2
0,0,0,1,1,0,9,0,0,2,0,0,3,1,0,1,12,2,2,1,1,1,0,1,4,4,87,76,1,1,0,0,0,0,0,2,1,0,1,4,0
